product_name,brewery,stats
O.W.K.,Side Project Brewing,"You:
Not rated
From:
Side Project Brewing
  Missouri, United States
Style:
American Imperial Stout
Ranked #2
ABV:
15%
Score:
100
Ranked #11
Avg:
4.86 | pDev: 3.5%
Reviews:
15
Ratings:
89
Status:
Active
Rated:
Jul 09, 2025
Added:
May 26, 2018 by Luscious_Malfoy
Wants:
  57
Gots:
  3"
Blessed,Anchorage Brewing Company,"You:
Not rated
From:
Anchorage Brewing Company
  Alaska, United States
Style:
American Imperial Stout
Ranked #5
ABV:
15.5%
Score:
100
Ranked #12
Avg:
4.73 | pDev: 4.86%
Reviews:
65
Ratings:
311
Status:
Active
Rated:
Aug 29, 2025
Added:
May 25, 2020 by unclekeith
Wants:
  56
Gots:
  24"
M.J.K.,Side Project Brewing,"You:
Not rated
From:
Side Project Brewing
  Missouri, United States
Style:
English Barleywine
Ranked #1
ABV:
20%
Score:
100
Ranked #13
Avg:
4.85 | pDev: 3.51%
Reviews:
16
Ratings:
92
Status:
Active
Rated:
Sep 16, 2025
Added:
Feb 22, 2021 by Luscious_Malfoy
Wants:
  32
Gots:
  2"
Black Magick - Pappy Van Winkle,Voodoo Brewing Co.,"You:
Not rated
From:
Voodoo Brewing Co.
  Pennsylvania, United States
Style:
American Imperial Stout
Ranked #7
ABV:
13%
Score:
100
Ranked #14
Avg:
4.73 | pDev: 7.19%
Reviews:
38
Ratings:
283
Status:
Active
Rated:
Jul 21, 2025
Added:
Mar 26, 2013 by MarkIntihar
Wants:
  761
Gots:
  23"
Fundamental Observation,Bottle Logic Brewing,"You:
Not rated
From:
Bottle Logic Brewing
  California, United States
Style:
American Imperial Stout
Ranked #8
ABV:
14%
Score:
100
Ranked #15
Avg:
4.68 | pDev: 6.41%
Reviews:
310
Ratings:
1,578
Status:
Active
Rated:
Sep 09, 2025
Added:
May 17, 2015 by SimcoeKid
Wants:
  941
Gots:
  335"
Very Hazy,Tree House Brewing Company,"You:
Not rated
From:
Tree House Brewing Company
  Massachusetts, United States
Style:
New England IPA
Ranked #3
ABV:
8.6%
Score:
100
Ranked #16
Avg:
4.68 | pDev: 6.62%
Reviews:
228
Ratings:
1,378
Status:
Active
Rated:
Aug 16, 2025
Added:
Nov 22, 2014 by ThatsThatDude
Wants:
  740
Gots:
  302"
Zenne Y Frontera,Brouwerij 3 Fonteinen,"You:
Not rated
From:
Brouwerij 3 Fonteinen
  Belgium
Style:
Lambic
Ranked #1
ABV:
7%
Score:
100
Ranked #17
Avg:
4.7 | pDev: 5.11%
Reviews:
69
Ratings:
428
Status:
Active
Rated:
Jul 17, 2025
Added:
Aug 31, 2015 by ThatsThatDude
Wants:
  249
Gots:
  67"
Bourbon County Brand Vanilla Rye Stout,Goose Island Beer Co.,"You:
Not rated
From:
Goose Island Beer Co.
  Illinois, United States
Style:
American Imperial Stout
Ranked #10
ABV:
14%
Score:
100
Ranked #18
Avg:
4.67 | pDev: 6.85%
Reviews:
319
Ratings:
2,178
Status:
Active
Rated:
Sep 11, 2025
Added:
Aug 02, 2014 by ThatsThatDude
Wants:
  1,055
Gots:
  587"
A Deal With The Devil - Triple Oak-Aged,Anchorage Brewing Company,"You:
Not rated
From:
Anchorage Brewing Company
  Alaska, United States
Style:
American Barleywine
Ranked #1
ABV:
20.86%
Score:
100
Ranked #19
Avg:
4.74 | pDev: 5.49%
Reviews:
35
Ratings:
181
Status:
Active
Rated:
Yesterday at 05:28 PM
Added:
Oct 14, 2018 by Luscious_Malfoy
Wants:
  36
Gots:
  12"
Barrel Aged Imperial German Chocolate Cupcake Stout,Angry Chair Brewing,"You:
Not rated
From:
Angry Chair Brewing
  Florida, United States
Style:
American Imperial Stout
Ranked #11
ABV:
11%
Score:
100
Ranked #20
Avg:
4.69 | pDev: 6.4%
Reviews:
56
Ratings:
385
Status:
Active
Rated:
Jul 10, 2025
Added:
Mar 09, 2017 by The_Snow_Bird
Wants:
  219
Gots:
  25"
Fou' Foune,Brasserie Cantillon,"You:
Not rated
From:
Brasserie Cantillon
  Belgium
Style:
Fruit Lambic
Ranked #1
ABV:
5.5%
Score:
100
Ranked #21
Avg:
4.65 | pDev: 7.31%
Reviews:
589
Ratings:
3,258
Status:
Active
Rated:
Jun 14, 2025
Added:
Aug 05, 2002 by rastaman
Wants:
  2,852
Gots:
  680"
Very Green,Tree House Brewing Company,"You:
Not rated
From:
Tree House Brewing Company
  Massachusetts, United States
Style:
New England IPA
Ranked #4
ABV:
8.3%
Score:
100
Ranked #22
Avg:
4.65 | pDev: 6.02%
Reviews:
272
Ratings:
1,719
Status:
Active
Rated:
Aug 10, 2025
Added:
May 23, 2014 by Davepoolesque
Wants:
  531
Gots:
  354"
Assassin,Toppling Goliath Brewing Company,"You:
Not rated
From:
Toppling Goliath Brewing Company
  Iowa, United States
Style:
American Imperial Stout
Ranked #12
ABV:
12%
Score:
100
Ranked #23
Avg:
4.65 | pDev: 7.96%
Reviews:
176
Ratings:
1,536
Status:
Active
Rated:
Aug 29, 2025
Added:
Feb 19, 2012 by Pintofbrown
Wants:
  2,117
Gots:
  194"
Juice Machine,Tree House Brewing Company,"You:
Not rated
From:
Tree House Brewing Company
  Massachusetts, United States
Style:
New England IPA
Ranked #5
ABV:
8.2%
Score:
100
Ranked #24
Avg:
4.65 | pDev: 6.45%
Reviews:
249
Ratings:
1,399
Status:
Active
Rated:
Sep 07, 2025
Added:
Dec 30, 2015 by rudzud
Wants:
  728
Gots:
  260"
Pliny The Elder,Russian River Brewing Company,"You:
Not rated
From:
Russian River Brewing Company
  California, United States
Style:
Imperial IPA
Ranked #3
ABV:
8%
Score:
100
Ranked #25
Avg:
4.64 | pDev: 7.76%
Reviews:
4,001
Ratings:
15,787
Status:
Active
Rated:
Sep 14, 2025
Added:
Aug 23, 2003 by Todd
Wants:
  7,679
Gots:
  4,845"
V.S.O.J.,Revolution Brewing,"You:
Not rated
From:
Revolution Brewing
  Illinois, United States
Style:
English Barleywine
Ranked #4
ABV:
14.4%
Score:
100
Ranked #26
Avg:
4.68 | pDev: 4.7%
Reviews:
71
Ratings:
368
Status:
Active
Rated:
Aug 16, 2025
Added:
Jan 16, 2017 by emerge077
Wants:
  98
Gots:
  19"
CBS (Canadian Breakfast Stout),Founders Brewing Company,"You:
Not rated
From:
Founders Brewing Company
  Michigan, United States
Style:
American Imperial Stout
Ranked #13
ABV:
11.7%
Score:
100
Ranked #27
Avg:
4.64 | pDev: 8.19%
Reviews:
1,649
Ratings:
6,812
Status:
Active
Rated:
Sep 02, 2025
Added:
Feb 01, 2009 by CRJMellor
Wants:
  4,551
Gots:
  1,860"
Julius,Tree House Brewing Company,"You:
Not rated
From:
Tree House Brewing Company
  Massachusetts, United States
Style:
New England IPA
Ranked #6
ABV:
6.8%
Score:
100
Ranked #28
Avg:
4.64 | pDev: 6.68%
Reviews:
843
Ratings:
5,118
Status:
Active
Rated:
Aug 16, 2025
Added:
Oct 17, 2012 by Jason
Wants:
  2,496
Gots:
  1,835"
A Deal With The Devil - Double Oak-Aged,Anchorage Brewing Company,"You:
Not rated
From:
Anchorage Brewing Company
  Alaska, United States
Style:
American Barleywine
Ranked #2
ABV:
17%
Score:
100
Ranked #29
Avg:
4.69 | pDev: 5.12%
Reviews:
60
Ratings:
279
Status:
Active
Rated:
Aug 02, 2025
Added:
Oct 15, 2017 by ThatsThatDude
Wants:
  63
Gots:
  20"
Double Barrel V.S.O.J.,Revolution Brewing,"You:
Not rated
From:
Revolution Brewing
  Illinois, United States
Style:
English Barleywine
Ranked #2
ABV:
16.8%
Score:
100
Ranked #30
Avg:
4.74 | pDev: 5.06%
Reviews:
31
Ratings:
139
Status:
Active
Rated:
Sep 04, 2025
Added:
Oct 23, 2022 by Luscious_Malfoy
Wants:
  19
Gots:
  8"
Abner,Hill Farmstead Brewery,"You:
Not rated
From:
Hill Farmstead Brewery
  Vermont, United States
Style:
New England IPA
Ranked #8
ABV:
8.3%
Score:
100
Ranked #31
Avg:
4.63 | pDev: 7.13%
Reviews:
445
Ratings:
2,927
Status:
Active
Rated:
Jun 29, 2025
Added:
May 12, 2010 by kingcrowing
Wants:
  2,076
Gots:
  389"
Double Sunshine,Lawson's Finest Liquids,"You:
Not rated
From:
Lawson's Finest Liquids
  Vermont, United States
Style:
Imperial IPA
Ranked #4
ABV:
8%
Score:
100
Ranked #32
Avg:
4.63 | pDev: 7.34%
Reviews:
457
Ratings:
2,744
Status:
Active
Rated:
Aug 31, 2025
Added:
Dec 18, 2010 by kingcrowing
Wants:
  3,306
Gots:
  329"
Coconut Vibes - Barrel-Aged,Side Project Brewing,"You:
Not rated
From:
Side Project Brewing
  Missouri, United States
Style:
American Imperial Stout
Ranked #9
ABV:
15%
Score:
100
Ranked #33
Avg:
4.76 | pDev: 4.83%
Reviews:
15
Ratings:
108
Status:
Active
Rated:
Jul 21, 2025
Added:
Feb 05, 2019 by Luscious_Malfoy
Wants:
  37
Gots:
  3"
Very GGGreennn,Tree House Brewing Company,"You:
Not rated
From:
Tree House Brewing Company
  Massachusetts, United States
Style:
New England IPA
Ranked #7
ABV:
8.3%
Score:
100
Ranked #34
Avg:
4.65 | pDev: 6.02%
Reviews:
105
Ratings:
522
Status:
Active
Rated:
Aug 08, 2025
Added:
Jun 07, 2019 by bhatch729
Wants:
  64
Gots:
  37"
Clover,Hill Farmstead Brewery,"You:
Not rated
From:
Hill Farmstead Brewery
  Vermont, United States
Style:
Saison
Ranked #1
ABV:
6.5%
Score:
100
Ranked #35
Avg:
4.68 | pDev: 5.98%
Reviews:
46
Ratings:
245
Status:
Active
Rated:
Aug 29, 2025
Added:
May 14, 2015 by ThatsThatDude
Wants:
  115
Gots:
  35"
Chemtrailmix - Rye Barrel,3 Floyds Brewing Co.,"You:
Not rated
From:
3 Floyds Brewing Co.
  Indiana, United States
Style:
Russian Imperial Stout
Ranked #2
ABV:
15%
Score:
100
Ranked #36
Avg:
4.67 | pDev: 5.78%
Reviews:
36
Ratings:
286
Status:
Active
Rated:
Sep 11, 2025
Added:
May 14, 2017 by JeNSaYGooDByE
Wants:
  91
Gots:
  19"
Westly,Sante Adairius Rustic Ales,"You:
Not rated
From:
Sante Adairius Rustic Ales
  California, United States
Style:
Saison
Ranked #2
ABV:
8.5%
Score:
100
Ranked #37
Avg:
4.65 | pDev: 6.24%
Reviews:
54
Ratings:
453
Status:
Active
Rated:
Aug 16, 2025
Added:
Sep 09, 2014 by CheapBeerBuzz
Wants:
  564
Gots:
  35"
Jjjuliusss,Tree House Brewing Company,"You:
Not rated
From:
Tree House Brewing Company
  Massachusetts, United States
Style:
New England IPA
Ranked #9
ABV:
6.8%
Score:
100
Ranked #38
Avg:
4.63 | pDev: 6.48%
Reviews:
193
Ratings:
1,126
Status:
Active
Rated:
Aug 11, 2025
Added:
May 25, 2015 by Nav71292
Wants:
  345
Gots:
  150"
Dinner,Maine Beer Company,"You:
Not rated
From:
Maine Beer Company
  Maine, United States
Style:
Imperial IPA
Ranked #5
ABV:
8.2%
Score:
100
Ranked #39
Avg:
4.62 | pDev: 7.14%
Reviews:
392
Ratings:
2,813
Status:
Active
Rated:
Tuesday at 09:42 PM
Added:
Mar 10, 2014 by ThatsThatDude
Wants:
  1,859
Gots:
  648"
Anabasis,Side Project Brewing,"You:
Not rated
From:
Side Project Brewing
  Missouri, United States
Style:
American Barleywine
Ranked #3
ABV:
14%
Score:
100
Ranked #40
Avg:
4.66 | pDev: 5.15%
Reviews:
51
Ratings:
315
Status:
Active
Rated:
Jul 04, 2025
Added:
Feb 08, 2015 by Dicers
Wants:
  213
Gots:
  22"
Duck Duck Gooze,The Lost Abbey - The Tasting Room,"You:
Not rated
From:
The Lost Abbey - The Tasting Room
  California, United States
Style:
Gueuze
Ranked #1
ABV:
7%
Score:
100
Ranked #41
Avg:
4.62 | pDev: 6.93%
Reviews:
309
Ratings:
1,998
Status:
Active
Rated:
Jun 09, 2025
Added:
Jul 13, 2009 by illidurit
Wants:
  3,403
Gots:
  364"
Lou Pepe - Kriek,Brasserie Cantillon,"You:
Not rated
From:
Brasserie Cantillon
  Belgium
Style:
Fruit Lambic
Ranked #2
ABV:
5%
Score:
100
Ranked #42
Avg:
4.62 | pDev: 7.14%
Reviews:
375
Ratings:
1,898
Status:
Active
Rated:
Sep 10, 2025
Added:
May 12, 2002 by Todd
Wants:
  1,805
Gots:
  357"
Morning Wood,Funky Buddha Brewery,"You:
Not rated
From:
Funky Buddha Brewery
  Florida, United States
Style:
Imperial Porter
Ranked #1
ABV:
12%
Score:
100
Ranked #43
Avg:
4.62 | pDev: 6.71%
Reviews:
203
Ratings:
1,259
Status:
Active
Rated:
Jul 06, 2025
Added:
Jan 18, 2012 by Jason
Wants:
  897
Gots:
  225"
Trappist Westvleteren 12 (XII),Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),"You:
Not rated
From:
Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren)
  Belgium
Style:
Quadrupel (Quad)
Ranked #1
ABV:
10.2%
Score:
100
Ranked #44
Avg:
4.61 | pDev: 8.03%
Reviews:
2,039
Ratings:
6,887
Status:
Active
Rated:
Sep 09, 2025
Added:
Nov 12, 2001 by Todd
Wants:
  3,873
Gots:
  2,368"
Speedway Stout - Vietnamese Coffee - Bourbon Barrel-Aged,AleSmith Brewing Company,"You:
Not rated
From:
AleSmith Brewing Company
  California, United States
Style:
American Imperial Stout
Ranked #15
ABV:
13.6%
Score:
100
Ranked #45
Avg:
4.62 | pDev: 5.84%
Reviews:
171
Ratings:
1,137
Status:
Active
Rated:
Yesterday at 01:36 PM
Added:
Jun 01, 2014 by Smarty_Pints
Wants:
  511
Gots:
  184"
10 Year Barleywine,Side Project Brewing,"You:
Not rated
From:
Side Project Brewing
  Missouri, United States
Style:
English Barleywine
Ranked #3
ABV:
17%
Score:
100
Ranked #46
Avg:
4.8 | pDev: 4.58%
Reviews:
8
Ratings:
74
Status:
Active
Rated:
Wednesday at 07:09 AM
Added:
Sep 27, 2023 by Luscious_Malfoy
Wants:
  14
Gots:
  1"
Framboise Du Fermier,Side Project Brewing,"You:
Not rated
From:
Side Project Brewing
  Missouri, United States
Style:
Saison
Ranked #4
ABV:
8%
Score:
100
Ranked #47
Avg:
4.64 | pDev: 5.39%
Reviews:
54
Ratings:
353
Status:
Active
Rated:
Aug 29, 2025
Added:
Apr 13, 2015 by coryking
Wants:
  295
Gots:
  23"
KBS,Founders Brewing Company,"You:
Not rated
From:
Founders Brewing Company
  Michigan, United States
Style:
American Imperial Stout
Ranked #16
ABV:
12%
Score:
100
Ranked #48
Avg:
4.6 | pDev: 8.7%
Reviews:
3,645
Ratings:
14,221
Status:
Active
Rated:
Sep 11, 2025
Added:
Dec 12, 2004 by Todd
Wants:
  4,615
Gots:
  7,307"
Bourbon County Brand Stout,Goose Island Beer Co.,"You:
Not rated
From:
Goose Island Beer Co.
  Illinois, United States
Style:
American Imperial Stout
Ranked #17
ABV:
14.7%
Score:
100
Ranked #49
Avg:
4.6 | pDev: 9.13%
Reviews:
3,341
Ratings:
13,477
Status:
Active
Rated:
Sep 14, 2025
Added:
Jun 25, 2003 by DrewBeechum
Wants:
  2,903
Gots:
  8,014"
Oude Fermier,Side Project Brewing,"You:
Not rated
From:
Side Project Brewing
  Missouri, United States
Style:
Saison
Ranked #3
ABV:
7%
Score:
100
Ranked #50
Avg:
4.68 | pDev: 5.56%
Reviews:
25
Ratings:
176
Status:
Active
Rated:
Saturday at 07:07 PM
Added:
Jun 26, 2014 by Jared14
Wants:
  235
Gots:
  16"
Doubleganger,Tree House Brewing Company,"You:
Not rated
From:
Tree House Brewing Company
  Massachusetts, United States
Style:
New England IPA
Ranked #10
ABV:
8.2%
Score:
100
Ranked #51
Avg:
4.61 | pDev: 5.86%
Reviews:
190
Ratings:
1,257
Status:
Active
Rated:
Sep 06, 2025
Added:
Dec 09, 2016 by burns3y
Wants:
  179
Gots:
  262"
Parabola,Firestone Walker Brewing Co.,"You:
Not rated
From:
Firestone Walker Brewing Co.
  California, United States
Style:
Russian Imperial Stout
Ranked #3
ABV:
13.8%
Score:
100
Ranked #52
Avg:
4.6 | pDev: 7.61%
Reviews:
1,478
Ratings:
7,271
Status:
Active
Rated:
Aug 27, 2025
Added:
Mar 26, 2008 by largadeer
Wants:
  3,189
Gots:
  3,826"
Fuzzy,Side Project Brewing,"You:
Not rated
From:
Side Project Brewing
  Missouri, United States
Style:
Wild Ale
Ranked #2
ABV:
8%
Score:
100
Ranked #53
Avg:
4.61 | pDev: 7.59%
Reviews:
119
Ratings:
1,037
Status:
Active
Rated:
Jul 28, 2025
Added:
Nov 06, 2013 by coryking
Wants:
  1,129
Gots:
  110"
Snowed In - Bourbon Barrel-Aged,Funky Buddha Brewery,"You:
Not rated
From:
Funky Buddha Brewery
  Florida, United States
Style:
Imperial Porter
Ranked #2
ABV:
11%
Score:
100
Ranked #54
Avg:
4.63 | pDev: 8.21%
Reviews:
62
Ratings:
400
Status:
Active
Rated:
Sep 14, 2025
Added:
Jun 28, 2015 by Alieniloquium
Wants:
  459
Gots:
  62"
Monster Tones,Modern Times Beer,"You:
Not rated
From:
Modern Times Beer
  California, United States
Style:
American Imperial Stout
Ranked #14
ABV:
13%
Score:
100
Ranked #55
Avg:
4.72 | pDev: 4.66%
Reviews:
10
Ratings:
113
Status:
Active
Rated:
Jun 14, 2025
Added:
Feb 01, 2018 by superspak
Wants:
  56
Gots:
  2"
Double Citra®,Hill Farmstead Brewery,"You:
Not rated
From:
Hill Farmstead Brewery
  Vermont, United States
Style:
Imperial IPA
Ranked #6
ABV:
8%
Score:
100
Ranked #56
Avg:
4.6 | pDev: 6.09%
Reviews:
271
Ratings:
2,141
Status:
Active
Rated:
Aug 29, 2025
Added:
May 29, 2011 by Satchboogie
Wants:
  1,195
Gots:
  230"
Ann,Hill Farmstead Brewery,"You:
Not rated
From:
Hill Farmstead Brewery
  Vermont, United States
Style:
Saison
Ranked #5
ABV:
6.5%
Score:
100
Ranked #57
Avg:
4.62 | pDev: 8.87%
Reviews:
93
Ratings:
475
Status:
Active
Rated:
Aug 29, 2025
Added:
May 27, 2012 by yourefragile
Wants:
  1,226
Gots:
  74"
Aaron,Hill Farmstead Brewery,"You:
Not rated
From:
Hill Farmstead Brewery
  Vermont, United States
Style:
English Barleywine
Ranked #5
ABV:
9%
Score:
100
Ranked #58
Avg:
4.61 | pDev: 6.07%
Reviews:
88
Ratings:
696
Status:
Active
Rated:
Sep 14, 2025
Added:
Jun 24, 2014 by ThatsThatDude
Wants:
  510
Gots:
  82"
Samuel,Hill Farmstead Brewery,"You:
Not rated
From:
Hill Farmstead Brewery
  Vermont, United States
Style:
Saison
Ranked #6
ABV:
6%
Score:
100
Ranked #59
Avg:
4.68 | pDev: 5.77%
Reviews:
23
Ratings:
145
Status:
Active
Rated:
Aug 16, 2025
Added:
Feb 16, 2019 by Luscious_Malfoy
Wants:
  34
Gots:
  14"
Atrial Rubicite,Jester King Brewery,"You:
Not rated
From:
Jester King Brewery
  Texas, United States
Style:
Wild Ale
Ranked #3
ABV:
5%
Score:
100
Ranked #60
Avg:
4.59 | pDev: 6.97%
Reviews:
222
Ratings:
2,071
Status:
Active
Rated:
Aug 23, 2025
Added:
Jun 02, 2013 by UT-Alex
Wants:
  1,422
Gots:
  368"
Maman,Perennial Artisan Ales,"You:
Not rated
From:
Perennial Artisan Ales
  Missouri, United States
Style:
American Imperial Stout
Ranked #18
ABV:
14%
Score:
100
Ranked #61
Avg:
4.61 | pDev: 7.16%
Reviews:
74
Ratings:
499
Status:
Active
Rated:
Friday at 09:47 PM
Added:
Oct 15, 2014 by drmcleod10
Wants:
  267
Gots:
  45"
Double Galaxy,Hill Farmstead Brewery,"You:
Not rated
From:
Hill Farmstead Brewery
  Vermont, United States
Style:
New England IPA
Ranked #11
ABV:
8%
Score:
100
Ranked #62
Avg:
4.59 | pDev: 6.75%
Reviews:
284
Ratings:
1,702
Status:
Active
Rated:
Aug 06, 2025
Added:
Apr 02, 2011 by sisuspeed
Wants:
  1,455
Gots:
  166"
Double Dry Hopped Congress Street,Trillium Brewing Company,"You:
Not rated
From:
Trillium Brewing Company
  Massachusetts, United States
Style:
New England IPA
Ranked #12
ABV:
7.2%
Score:
100
Ranked #63
Avg:
4.59 | pDev: 6.32%
Reviews:
209
Ratings:
1,653
Status:
Active
Rated:
May 14, 2025
Added:
Aug 19, 2014 by halo3one
Wants:
  432
Gots:
  322"
Nectarine Premiere,de Garde Brewing,"You:
Not rated
From:
de Garde Brewing
  Oregon, United States
Style:
Saison
Ranked #7
ABV:
8.1%
Score:
100
Ranked #64
Avg:
4.61 | pDev: 6.07%
Reviews:
61
Ratings:
432
Status:
Active
Rated:
Aug 30, 2025
Added:
Apr 24, 2015 by ThatsThatDude
Wants:
  226
Gots:
  27"
Headroom,Trillium Brewing Company,"You:
Not rated
From:
Trillium Brewing Company
  Massachusetts, United States
Style:
New England IPA
Ranked #13
ABV:
8%
Score:
100
Ranked #65
Avg:
4.59 | pDev: 6.54%
Reviews:
127
Ratings:
842
Status:
Active
Rated:
Sep 14, 2025
Added:
Aug 20, 2015 by ThatsThatDude
Wants:
  298
Gots:
  94"
Society & Solitude #4,Hill Farmstead Brewery,"You:
Not rated
From:
Hill Farmstead Brewery
  Vermont, United States
Style:
New England IPA
Ranked #15
ABV:
8%
Score:
100
Ranked #66
Avg:
4.58 | pDev: 6.33%
Reviews:
204
Ratings:
1,465
Status:
Active
Rated:
Jun 14, 2025
Added:
Jul 08, 2012 by jlindros
Wants:
  454
Gots:
  130"
Lou Pepe - Framboise,Brasserie Cantillon,"You:
Not rated
From:
Brasserie Cantillon
  Belgium
Style:
Fruit Lambic
Ranked #3
ABV:
5.5%
Score:
100
Ranked #67
Avg:
4.58 | pDev: 6.99%
Reviews:
318
Ratings:
1,444
Status:
Active
Rated:
Sep 12, 2025
Added:
Nov 03, 2003 by TheLongBeachBum
Wants:
  1,206
Gots:
  230"
Zombie Dust,3 Floyds Brewing Co.,"You:
Not rated
From:
3 Floyds Brewing Co.
  Indiana, United States
Style:
American Pale Ale
Ranked #1
ABV:
6.5%
Score:
100
Ranked #68
Avg:
4.57 | pDev: 8.53%
Reviews:
1,923
Ratings:
11,530
Status:
Active
Rated:
Friday at 02:07 PM
Added:
Dec 08, 2010 by hansgruber
Wants:
  4,947
Gots:
  3,826"
Cable Car,The Lost Abbey - The Tasting Room,"You:
Not rated
From:
The Lost Abbey - The Tasting Room
  California, United States
Style:
Wild Ale
Ranked #4
ABV:
7%
Score:
100
Ranked #69
Avg:
4.58 | pDev: 7.64%
Reviews:
249
Ratings:
1,163
Status:
Active
Rated:
Apr 13, 2025
Added:
Aug 12, 2007 by stephendr
Wants:
  2,704
Gots:
  117"
Very HHHazyyy,Tree House Brewing Company,"You:
Not rated
From:
Tree House Brewing Company
  Massachusetts, United States
Style:
New England IPA
Ranked #14
ABV:
8.8%
Score:
100
Ranked #70
Avg:
4.61 | pDev: 5.42%
Reviews:
57
Ratings:
325
Status:
Active
Rated:
Jul 29, 2025
Added:
Mar 30, 2021 by DVMin98
Wants:
  19
Gots:
  15"
Hunahpu's Imperial Stout,Cigar City Brewing,"You:
Not rated
From:
Cigar City Brewing
  Florida, United States
Style:
American Imperial Stout
Ranked #20
ABV:
10.2%
Score:
100
Ranked #71
Avg:
4.57 | pDev: 8.32%
Reviews:
867
Ratings:
4,468
Status:
Active
Rated:
Friday at 11:46 PM
Added:
Jan 03, 2009 by tpd975
Wants:
  3,730
Gots:
  1,261"
